job_id,title,company,location,zip_code,state,source,ats,department,is_remote,job_url,job_types,tags,salary,published_at,start_date_raw,modified_at,ingested_at,is_english,work_style,language_requirement,region,date_added,date_expired
sem_equensworldline-germany_business-analyst_aachen,Business Analyst (m/w/d),equensWorldline SE Germany,Aachen,52076.0,Nordrhein-Westfalen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002250030-S,,,,,2026-07-03,2026-07-03T07:39:21.876,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_equensworldline-germany_chief-product-owner_frankfurt-am-main,Chief Product Owner (m/f/d),equensWorldline SE Germany,Frankfurt am Main,60528.0,Hessen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002161004-S,,,,,2026-05-05,2026-05-05T07:52:28.377,2026-07-06T07:01:03.142629+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_equensworldline-germany_scrum-master-m-w-d_aachen,"Scrum Master (m,w,d)",equensWorldline SE Germany,Aachen,52076.0,Nordrhein-Westfalen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002249650-S,,,,,2026-06-09,2026-06-09T09:13:41.3,2026-07-06T07:01:03.142629+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_equensworldline-germany_scrum-master_frankfurt-am-main,Scrum Master (m/w/d),equensWorldline SE Germany,Frankfurt am Main,60528.0,Hessen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002249696-S,,,,,2026-05-08,2026-07-06T00:07:28.481,2026-07-06T07:01:03.142629+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_equensworldline-germany_tribe-lead-sepa-batch-product-sales-oriented_frankfurt-am-main,Tribe Lead (m/f/d) - SEPA Batch Product (Sales-Oriented),equensWorldline SE Germany,Frankfurt am Main,60528.0,Hessen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002160966-S,,,,,2026-05-05,2026-05-05T10:50:35.175,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_evident-europe_software-engineer-c-windows-digital-microscopy_m-nster,Software Engineer C++ (Windows) - Digital Microscopy (m/f/d),EVIDENT Europe GmbH,Münster,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/evident-europe-gmbh/software-engineer-c-windows-digital-microscopy-munster-290701,professional / experienced,Software Development,,,,,2026-07-06T07:00:07.313495+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_expert-warenvertrieb_junior-business-intelligence-data-warehouse-analyst-entwickler-m-w-x_langenhagen-han,Junior Business Intelligence- / Data Warehouse-Analyst / Entwickler (m/w/x),expert Warenvertrieb GmbH,"Langenhagen, Han",30855.0,Niedersachsen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206742291-S,,"Analytics / BI,Junior / Entry Level",,,2026-06-09,2026-06-09T09:05:28.679,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_expertum_data-analyst-datenanalyst-reporting-business-intelligence_kassel-hessen,Data Analyst / Datenanalyst (m/w/d) Reporting & Business Intelligence,expertum GmbH,"Kassel, Hessen",34127.0,Hessen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4876735205-S,,Analytics / BI,,,2026-07-07,2026-07-06T07:31:38.794,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_exzellente-jobs_projektleiter-projektingenieur-f-r-hls-oder-elektro-in-halle-saale_halle-saale,Projektleiter/Projektingenieur für HLS oder Elektro (m/w/d) in Halle (Saale),Exzellente Jobs,Halle (Saale),,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/exzellente-jobs/projektleiter-projektingenieur-fur-hls-oder-elektro-in-halle-saale-492721,,Engineering,,,,,2026-07-06T07:00:07.313495+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_exzellente-jobs_projektleiter-projektingenieur-f-r-hls-oder-elektro-in-kiel_kiel,Projektleiter/Projektingenieur für HLS oder Elektro (m/w/d) in Kiel,Exzellente Jobs,Kiel,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/exzellente-jobs/projektleiter-projektingenieur-fur-hls-oder-elektro-in-kiel-364436,berufseinstieg,Engineering,,,,,2026-07-06T07:00:07.313495+00:00,False,onsite,german_required,Other,2026-07-06,2026-07-06
sem_ey-consulting_berater-cloud-architect-digital-engineering_d-sseldorf,Berater Cloud Architect - Digital Engineering (w/m/d),EY Consulting GmbH,Düsseldorf,40213.0,Nordrhein-Westfalen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/15548-1419715-1-S,,Cloud / DevOps,,,2026-06-09,2026-06-09T08:15:56.49,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_ey-consulting_consultant-unternehmensberatung-business-transformation-financial-services_eschborn-taunus,(Senior) Consultant Unternehmensberatung - Business Transformation (Financial Services) (w/m/d),EY Consulting GmbH,"Eschborn, Taunus",65760.0,Hessen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/15548-1423370-3-S,,,,,2026-06-09,2026-07-02T16:31:03.307,2026-07-06T07:01:03.142629+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_figma_solutions-consultant-berlin-germany_berlin-germany,"Solutions Consultant (Berlin, Germany)",Figma,"Berlin, Germany",,,direct,greenhouse,Sales,False,https://boards.greenhouse.io/figma/jobs/5735853004?gh_jid=5735853004,,,,,,2026-04-15T15:32:40-04:00,2026-07-06T07:00:46.082166+00:00,True,onsite,english_only,Germany,2026-07-06,2026-07-06
sem_figma_solutions-consultant-paris-france_paris-france,"Solutions Consultant (Paris, France)",Figma,"Paris, France",,,direct,greenhouse,Sales,False,https://boards.greenhouse.io/figma/jobs/5735542004?gh_jid=5735542004,,,,,,2026-04-15T15:32:40-04:00,2026-07-06T07:00:46.082166+00:00,True,onsite,english_only,France,2026-07-06,2026-07-06
sem_figma_technical-support-engineer-london-united-kingdom_london-england,"Technical Support Engineer (London, United Kingdom)",Figma,"London, England",,,direct,greenhouse,Product Support,False,https://boards.greenhouse.io/figma/jobs/5708436004?gh_jid=5708436004,,,,,,2026-06-24T06:26:24-04:00,2026-07-06T07:00:46.082166+00:00,True,onsite,english_only,United Kingdom,2026-07-06,2026-07-06
sem_finanz-informatik-kg_software-entwickler_m-nster-westfalen,Software-Entwickler (m/w/d),Finanz Informatik GmbH & Co. KG,"Münster, Westfalen",48147.0,Nordrhein-Westfalen,ba_api,,,False,https://www.arbeitsagentur.de/jobsuche/jobdetail/20079-gIqFQ0Ot-S,,,,,2026-07-03,2026-07-03T11:05:14.082,2026-07-06T07:01:03.142629+00:00,False,onsite,german_required,Germany,2026-07-06,2026-07-06
sem_finanzkanzlei-nittendorf_assistenz-f-r-kundenkontakt-und-beratungsvorbereitung_nittendorf,Assistenz für Kundenkontakt und Beratungsvorbereitung (m/w/d),Finanzkanzlei Nittendorf,Nittendorf,,,arbeitnow,,,False,https://www.arbeitnow.com/jobs/companies/finanzkanzlei-nittendorf/assistenz-fur-kundenkontakt-und-beratungsvorbereitung-nittendorf-400528,"Side,berufseinstieg",Private Banking,,,,,2026-07-06T07:00:07.313495+00:00,False,onsite,german_required,Other,2026-07-06,2026-07-06
sem_finanzklar_finanzberater-100-remote-34d-leads-gestellt_mannheim,Finanzberater (m/w/d) 100% Remote | §34d | Leads gestellt,Finanzklar GmbH,Mannheim,,,arbeitnow,,,True,https://www.arbeitnow.com/jobs/companies/finanzklar-gmbh/finanzberater-100-remote-34d-leads-gestellt-mannheim-15308,,"Remote,Finance",,,,,2026-07-06T07:00:07.313495+00:00,False,remote,german_required,Germany,2026-07-06,2026-07-06
